Year,Name,POS,Height,Weight,Forty_Yard,Bench_Press,Vert_Leap,Broad_Jump,Shuttle,position_group
1988,Brett Perriman,WR,69.4,175,4.36,17.0,36.0,,,WR_RB_DB
1988,Bernard Ford,WR,69.5,168,4.37,6.0,32.0,115.0,4.05,WR_RB_DB
1988,Keith Jones,RB,69.1,179,4.38,6.0,36.0,117.0,4.19,WR_RB_DB
1988,Anthony Miller,WR,70.6,181,4.38,14.0,32.0,111.0,4.2,WR_RB_DB
1988,Tim Brown,WR,72.0,193,4.39,,,,,WR_RB_DB
1988,George Thomas,WR,69.4,169,4.4,7.0,34.0,120.0,4.4,WR_RB_DB
1988,Aaron Cox,WR,69.1,174,4.4,3.0,30.0,109.0,4.34,WR_RB_DB
1988,Quinn Early,WR,72.1,193,4.41,9.0,35.0,117.0,4.23,WR_RB_DB
1988,John Stephens,RB,72.1,220,4.41,23.0,35.5,116.0,4.22,WR_RB_DB
1988,Cris Dishman,CB,72.0,173,4.42,7.0,32.5,117.0,4.34,WR_RB_DB
1988,Anthony Newman,SS,72.1,199,4.43,17.0,38.5,133.0,3.82,WR_RB_DB
1988,Michael Brim,CB,71.6,186,4.44,9.0,30.0,114.0,4.2,WR_RB_DB
1988,J.J. Birden,WR,69.4,157,4.45,7.0,38.0,126.0,4.16,WR_RB_DB
1988,Flipper Anderson,WR,71.6,169,4.45,4.0,35.5,117.0,4.31,WR_RB_DB
1988,Curtis Chappell,WR,70.9,152,4.46,3.0,31.0,103.0,4.22,WR_RB_DB
1988,Darryl Usher,WR,67.5,162,4.46,10.0,34.5,110.0,4.02,WR_RB_DB
1988,Michael Haynes,WR,72.4,180,4.46,5.0,34.5,119.0,4.36,WR_RB_DB
1988,Eric Allen,CB,69.8,181,4.46,14.0,30.5,112.0,4.19,WR_RB_DB
1988,Terry Williams,CB,70.5,192,4.46,18.0,28.5,116.0,4.34,WR_RB_DB
1988,Bo Wright,FB,70.1,210,4.46,18.0,30.5,109.0,4.2,LB_FB_TE_QB
1988,James Milling,WR,69.4,156,4.47,8.0,32.0,111.0,4.32,WR_RB_DB
1988,Martin Mayhew,CB,68.5,172,4.47,7.0,34.0,111.0,4.42,WR_RB_DB
1988,Rickey Dixon,FS,70.8,177,4.47,6.0,31.0,106.0,4.32,WR_RB_DB
1988,Sheldon White,CB,71.1,191,4.47,10.0,35.5,112.0,3.97,WR_RB_DB
1988,Thurman Thomas,RB,69.9,198,4.47,13.0,33.0,114.0,4.21,WR_RB_DB
1988,Lars Tate,RB,73.6,213,4.47,18.0,31.5,124.0,4.37,WR_RB_DB
1988,Andy Schillinger,WR,71.6,179,4.48,8.0,30.5,110.0,4.11,WR_RB_DB
1988,Brian Blades,WR,71.1,182,4.48,13.0,,,,WR_RB_DB
1988,Tony Jeffery,RB,70.9,208,4.48,15.0,28.0,115.0,4.4,WR_RB_DB
1988,James Primus,RB,70.8,196,4.49,14.0,33.5,114.0,4.28,WR_RB_DB
1988,Patrick Collins,RB,69.4,197,4.49,10.0,33.5,110.0,4.29,WR_RB_DB
